iter	Passed	Remaining
720	17552	6792
721	17570	6765
722	17592	6740
723	17615	6715
724	17635	6689
725	17657	6664
726	17679	6639
727	17699	6613
728	17719	6587
729	17742	6562
730	17776	6541
731	17818	6523
732	17857	6504
733	17899	6486
734	17919	6460
735	17940	6435
736	17960	6409
737	17980	6383
738	18002	6357
739	18022	6332
740	18048	6308
741	18069	6282
742	18088	6256
743	18109	6231
744	18130	6205
745	18151	6180
746	18172	6154
747	18194	6129
748	18215	6104
749	18235	6078
750	18258	6053
751	18278	6027
752	18299	6002
753	18320	5977
754	18340	5951
755	18366	5927
756	18387	5902
757	18409	5877
758	18430	5852
759	18450	5826
760	18472	5801
761	18492	5775
762	18513	5750
763	18536	5725
764	18556	5700
765	18577	5674
766	18595	5649
767	18617	5624
768	18638	5598
769	18659	5573
770	18678	5547
771	18698	5522
772	18720	5497
773	18741	5472
774	18762	5447
775	18783	5422
776	18802	5396
777	18823	5371
778	18845	5346
779	18867	5321
780	18893	5298
781	18924	5275
782	18981	5260
783	19013	5238
784	19033	5213
785	19053	5187
786	19074	5162
787	19096	5137
788	19116	5112
789	19137	5087
790	19156	5061
791	19176	5036
792	19199	5011
793	19239	4991
794	19280	4971
795	19316	4950
796	19337	4925
797	19358	4900
798	19379	4875
799	19400	4850
800	19420	4824
801	19441	4799
802	19461	4774
803	19483	4749
804	19504	4724
805	19525	4699
806	19543	4673
807	19564	4649
808	19589	4624
809	19609	4599
810	19629	4574
811	19651	4549
812	19674	4525
813	19693	4499
814	19714	4475
815	19736	4450
816	19757	4425
817	19777	4400
818	19798	4375
819	19819	4350
820	19840	4325
821	19862	4301
822	19882	4276
823	19903	4251
824	19923	4226
825	19946	4201
826	19973	4178
827	20038	4162
828	20091	4144
829	20113	4119
830	20133	4094
831	20154	4069
832	20175	4044
833	20198	4020
834	20220	3995
835	20240	3970
836	20261	3945
837	20282	3921
838	20303	3896
839	20323	3871
840	20344	3846
841	20365	3821
842	20387	3797
843	20407	3772
844	20429	3747
845	20448	3722
846	20470	3697
847	20491	3672
848	20513	3648
849	20535	3623
850	20556	3599
851	20578	3574
852	20602	3550
853	20624	3525
854	20646	3501
855	20668	3476
856	20689	3452
857	20710	3427
858	20731	3402
859	20750	3378
860	20771	3353
861	20792	3328
862	20814	3304
863	20834	3279
864	20855	3254
865	20876	3230
866	20898	3205
867	20919	3181
868	20941	3156
869	20966	3132
870	20987	3108
871	21011	3084
872	21032	3059
873	21054	3035
874	21086	3012
875	21146	2993
876	21175	2969
877	21210	2947
878	21231	2922
879	21251	2897
880	21274	2873
881	21296	2849
882	21321	2825
883	21341	2800
884	21364	2776
885	21385	2751
886	21408	2727
887	21429	2702
888	21451	2678
889	21472	2653
890	21494	2629
891	21515	2604
892	21536	2580
893	21557	2556
894	21578	2531
895	21600	2507
896	21623	2482
897	21644	2458
898	21666	2434
899	21688	2409
900	21710	2385
901	21731	2361
902	21753	2336
903	21774	2312
904	21795	2287
905	21816	2263
906	21837	2239
907	21860	2214
908	21881	2190
909	21904	2166
910	21930	2142
911	21952	2118
912	21979	2094
913	22002	2070
914	22026	2046
915	22047	2021
916	22069	1997
917	22090	1973
918	22109	1948
919	22130	1924
920	22153	1900
921	22184	1876
922	22254	1856
923	22285	1832
924	22313	1809
925	22336	1784
926	22356	1760
927	22378	1736
928	22399	1711
929	22421	1687
930	22442	1663
